DPD90_12m;customer_type;product_type_zart;product_type_nyilt;onero;age_of_asset (honap);sales_channel_dealer;sales_channel_hitelpont;sales_channel_hiteliroda;Nace_low;Nace_medium;Nace_high
0;1;1;0;0,314896192;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;0;1
0;1;1;0;-0,474429725;0,358552204;0;0;1;0;0;1
0;1;1;0;-0,474429725;1,675335427;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;0;1;0;-0,474429725;-0,540714387;1;0;0;0;1;0
0;1;1;0;4,459646582;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;0;0;1
0;1;1;0;1,104222109;1,418402115;1;0;0;1;0;0
0;1;1;0;-1,164300577;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,000834175;-0,540714387;0;1;0;0;1;0
0;1;1;0;-0,000834175;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;0;1;0;0,289637762;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;0;0;1;1;0;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;0;1;0;-0,474429725;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,809103914;1,418402115;0;0;1;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;1;1;0;1,648067666;0,8081855;1;0;0;1;0;0
0;0;1;0;-0,016620694;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;1,225702131;1;0;0;1;0;0
0;1;1;0;-0,952761231;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,805856912;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,511438345;-0,540714387;1;0;0;0;1;0
0;1;1;0;1,944064885;-0,540714387;1;0;0;1;0;0
0;0;1;0;2,428710998;-0,540714387;1;0;0;1;0;0
0;0;1;0;-0,211584195;1,065118812;0;0;1;0;0;1
0;1;1;0;-0,667814575;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,503634784;1,771685419;1;0;0;1;0;0
0;1;1;0;0,314896192;0,197968885;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;0;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,822522455;0,422785532;1;0;0;1;0;0
0;1;1;0;1,104222109;0,262202213;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;0;1;0;-0,474429725;2,18920205;0;0;1;0;0;1
0;0;1;0;-0,474429725;0,358552204;1;0;0;0;1;0
0;0;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;0;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,331561734;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,665356899;2,092852058;1;0;0;1;0;0
0;1;1;0;0,371727658;-0,540714387;1;0;0;0;0;1
0;0;1;0;0,611682736;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,592039287;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;0,101618893;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,000834175;-0,540714387;1;0;0;1;0;0
1;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;1;1;0;-0,000834175;-0,540714387;1;0;0;0;1;0
0;1;1;0;2,40897785;1,065118812;1;0;0;1;0;0
0;1;1;0;0,266747311;-0,540714387;1;0;0;0;0;1
0;1;1;0;2,109823327;-0,540714387;1;0;0;1;0;0
1;1;1;0;-1,263755643;3,698685257;1;0;0;0;0;1
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;1;0
0;1;1;0;1,463365401;1,771685419;1;0;0;1;0;0
0;1;1;0;-0,402601067;-0,540714387;1;0;0;0;1;0
0;1;1;0;3,348275691;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,921188195;1,835918747;1;0;0;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;0;1;0;1,804354197;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;0,551252188;1;0;0;1;0;0
0;1;1;0;-0,869092684;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,305424281;1,450518779;1;0;0;1;0;0
0;1;1;0;1,104222109;-0,155314419;1;0;0;0;1;0
0;0;1;0;-0,582567376;-0,540714387;1;0;0;0;1;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,000834175;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,57616307;2,253435378;1;0;0;0;1;0
0;0;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;0;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,690691265;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;1,354168787;0;0;1;0;1;0
0;0;1;0;0,611682736;3,409635281;1;0;0;0;1;0
0;1;1;0;-0,474429725;-0,412247731;1;0;0;1;0;0
0;1;1;0;-0,646502775;0,583368852;0;0;1;0;1;0
0;1;1;0;0,020477625;1,578985435;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;3,231455455;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;1;0
0;0;1;0;0,288848436;1,707452091;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,770426944;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,383567546;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;0,422785532;1;0;0;0;1;0
0;1;1;0;-1,164300577;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,44671362;0,005268901;1;0;0;0;1;0
0;1;1;0;1,218674367;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,869092684;0,743952172;1;0;0;1;0;0
0;0;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;2,779171705;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,026002906;-0,540714387;1;0;0;0;0;1
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;0;1
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;1;1;0;1,067123791;-0,540714387;1;0;0;1;0;0
0;0;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;0,8081855;0;0;1;1;0;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,56835951;3,859268576;1;0;0;1;0;0
0;1;1;0;-0,352873534;-0,540714387;1;0;0;0;1;0
0;1;1;0;1,104222109;1,803802083;1;0;0;1;0;0
